,nearest10hz,inletNumber,P,T,CH4,H2O,C2H6,R,C1C2,raw_CH4,raw_H2O,raw_C2H6,raw_R,raw_C1C2,batteryCharge,powerInput,current,SOC,Latitude,Longitude,Velocity,Bearing,wind_deviceID,windReference,avg_wind_x,avg_wind_y,avg_windSpeed,avg_windAngle,atmosphericPressure,airTemperature,jointime
1,1612298334.1,0.0,240.00400000000002,30.2838,2.0963,5062.15,0.6727449999999999,-0.291098,-1.0,2.10517,5083.78,0.9802360000000001,-0.182579,-1.0,12303.0,14750.0,267.0,90.0,40.59530665882708,-105.14417436414014,0.0028081775942308093,0.9884844933198879,35.0,250.0,3.892890933593238,-1.3181427006009525,4.11,-0.3264853071795859,8390.0,290.05,1612298334.5
2,1612298334.2,0.0,240.00400000000002,30.2838,2.0963,5062.15,0.6727449999999999,-0.291098,-1.0,2.10517,5083.78,0.9802360000000001,-0.182579,-1.0,12303.0,14750.0,267.0,90.0,40.59530666716042,-105.14417435580678,0.0038421083544938907,1.1571397769969483,35.0,250.0,3.9493616654039037,-1.3069592326611064,4.160000000000001,-0.31958530717958594,8390.0,290.05,1612298334.6
3,1612298334.3,0.0,240.00400000000002,30.2838,2.0963,5062.15,0.6727449999999999,-0.291098,-1.0,2.10517,5083.78,0.9802360000000001,-0.182579,-1.0,12303.0,14750.0,267.0,90.0,40.59530666160486,-105.14417435580678,0.006177498913432868,3.141592653589793,35.0,250.0,3.994575644925313,-1.329460573679987,4.21,-0.3212853071795865,8390.0,290.05,1612298334.7
4,1612298334.4,0.0,240.00400000000002,30.2838,2.0963,5062.15,0.6727449999999999,-0.291098,-1.0,2.10517,5083.78,0.9802360000000001,-0.182579,-1.0,12303.0,14750.0,267.0,90.0,40.5953066560493,-105.14417435580678,0.0015443757159673238,0.0,35.0,250.0,3.98285831008096,-1.3641626302677559,4.21,-0.32998530717958485,8390.0,290.05,1612298334.8
5,1612298334.5,0.0,240.00400000000002,30.2838,2.0963,5062.15,0.6727449999999999,-0.291098,-1.0,2.10517,5083.78,0.9802360000000001,-0.182579,-1.0,12303.0,14750.0,267.0,90.0,40.59530666438264,-105.14417435580678,0.001939147083961987,5.633740350511446,35.0,250.0,3.98285831008096,-1.3641626302677559,4.21,-0.32998530717958485,8390.0,290.05,1612298334.9
6,1612298334.6,0.0,240.00400000000002,30.2838,2.0963,5062.15,0.6727449999999999,-0.291098,-1.0,2.10517,5083.78,0.9802360000000001,-0.182579,-1.0,12303.0,14750.0,267.0,90.0,40.59530665882708,-105.14417435858458,0.0028081675731247016,2.153111315757827,35.0,250.0,3.9331232504527036,-1.3550429870481446,4.16,-0.331785307179586,8390.0,290.05,1612298335.0
7,1612298334.7,0.0,239.99200000000002,30.2842,2.09685,5046.16,0.453164,-0.386504,-1.0,2.1078099999999997,5097.93,0.256334,-0.179668,-1.0,12311.0,14751.0,268.0,90.0,40.59530666160486,-105.14417435025123,0.0011726884913676983,1.5707963267948966,35.0,250.0,3.9283565193256256,-1.368800590689476,4.16,-0.33528530717958493,8390.0,290.05,1612298335.1
8,1612298334.8,0.0,239.99200000000002,30.2842,2.09685,5046.16,0.453164,-0.386504,-1.0,2.1078099999999997,5097.93,0.256334,-0.179668,-1.0,12311.0,14751.0,268.0,90.0,40.59530665882708,-105.14417435580678,0.007756574015730455,3.7910354044614216,35.0,250.0,3.9260238829684675,-1.3754768156392887,4.16,-0.33698530717958625,8390.0,290.05,1612298335.2
9,1612298334.9,0.0,239.99200000000002,30.2842,2.09685,5046.16,0.453164,-0.386504,-1.0,2.1078099999999997,5097.93,0.256334,-0.179668,-1.0,12311.0,14751.0,268.0,90.0,40.59530665049374,-105.14417436136236,0.0012279259844770087,5.385464378832867,35.0,250.0,3.866866633043045,-1.3926386617706508,4.110000000000001,-0.3456853071795864,8390.0,290.05,1612298335.3
10,1612298335.0,0.0,239.99200000000002,30.2842,2.09685,5046.16,0.453164,-0.386504,-1.0,2.1078099999999997,5097.93,0.256334,-0.179668,-1.0,12311.0,14751.0,268.0,90.0,40.5953066602039,-105.14417435808107,0.002319614355515339,0.09176616156072964,35.0,250.0,3.784976897832378,-1.468860062386881,4.0600000000000005,-0.3701853071795871,8390.0,290.05,1612298335.5
11,1612298335.1,0.0,239.99200000000002,30.2842,2.09685,5046.16,0.453164,-0.386504,-1.0,2.1078099999999997,5097.93,0.256334,-0.179668,-1.0,12311.0,14751.0,268.0,90.0,40.59530665464834,-105.14417436085886,0.003842102861236081,4.298730604431496,35.0,250.0,3.784976897832378,-1.468860062386881,4.0600000000000005,-0.3701853071795871,8390.0,290.05,1612298335.5
12,1612298335.2,0.0,239.99200000000002,30.2842,2.09685,5046.16,0.453164,-0.386504,-1.0,2.1078099999999997,5097.93,0.256334,-0.179668,-1.0,12311.0,14751.0,268.0,90.0,40.59530665742612,-105.14417436641442,0.003878288580941591,5.633743383575542,35.0,250.0,3.766775575118711,-1.514926323848493,4.0600000000000005,-0.3823853071795862,8390.0,290.05,1612298335.6
13,1612298335.3,0.0,239.99200000000002,30.2842,2.09685,5046.16,0.453164,-0.386504,-1.0,2.1078099999999997,5097.93,0.256334,-0.179668,-1.0,12311.0,14751.0,268.0,90.0,40.5953066602039,-105.14417436641442,0.006287822499877187,2.953994410258715,35.0,250.0,3.7451981614272984,-1.5675109988901472,4.0600000000000005,-0.3963853071795864,8390.0,290.05,1612298335.7
14,1612298335.4,0.0,239.99200000000002,30.2842,2.09685,5046.16,0.453164,-0.386504,-1.0,2.1078099999999997,5097.93,0.256334,-0.179668,-1.0,12311.0,14751.0,268.0,90.0,40.595306646314995,-105.14417436363665,0.002808162562659198,4.130072413681502,35.0,250.0,3.7257962874407644,-1.613084630294586,4.0600000000000005,-0.40858530717958635,8390.0,290.05,1612298335.8
15,1612298335.5,0.0,239.99200000000002,30.2842,2.09685,5046.16,0.453164,-0.386504,-1.0,2.1078099999999997,5097.93,0.256334,-0.179668,-1.0,12311.0,14751.0,268.0,90.0,40.59530665742612,-105.14417437196995,0.003303881111335172,5.920335503662404,35.0,250.0,3.6516344329267563,-1.6570051201682165,4.01,-0.4259853071795849,8390.0,290.05,1612298335.9
16,1612298335.6,0.0,239.99200000000002,30.2842,2.09685,5046.16,0.453164,-0.386504,-1.0,2.1078099999999997,5097.93,0.256334,-0.179668,-1.0,12311.0,14751.0,268.0,90.0,40.59530665187057,-105.14417436641442,0.007756569906031429,2.4921512813516804,35.0,250.0,3.591730344393273,-1.667654980253584,3.9600000000000004,-0.4346853071795859,8390.0,290.05,1612298336.0
17,1612298335.7,0.0,240.01,30.2848,2.10145,5025.34,0.9913860000000001,-0.39978,-1.0,2.10481,5093.46,0.489622,-0.177752,-1.0,12312.0,14736.0,271.0,90.0,40.595306646314995,-105.14417436085886,0.0019391505829733605,3.791032647153072,35.0,250.0,3.570947012329757,-1.7117060013720757,3.9599999999999995,-0.44698530717958485,8390.0,290.05,1612298336.1
18,1612298335.8,0.0,240.01,30.2848,2.10145,5025.34,0.9913860000000001,-0.39978,-1.0,2.10481,5093.46,0.489622,-0.177752,-1.0,12312.0,14736.0,271.0,90.0,40.59530664909278,-105.1441743691922,0.004681556391503468,3.991878937880561,35.0,250.0,3.465908232041488,-1.6762995338146005,3.85,-0.45048530717958646,8390.0,290.05,1612298336.2
19,1612298335.9,0.0,240.01,30.2848,2.10145,5025.34,0.9913860000000001,-0.39978,-1.0,2.10481,5093.46,0.489622,-0.177752,-1.0,12312.0,14736.0,271.0,90.0,40.59530664075945,-105.1441743691922,0.0031495740842398135,2.2807548522153316,35.0,250.0,3.415251274902081,-1.6661508723040988,3.8,-0.45388530717958653,8390.0,290.05,1612298336.3
20,1612298336.0,0.0,240.01,30.2848,2.10145,5025.34,0.9913860000000001,-0.39978,-1.0,2.10481,5093.46,0.489622,-0.177752,-1.0,12312.0,14736.0,271.0,90.0,40.59530664540034,-105.14417436353422,0.004723568052798254,5.774107235503425,35.0,250.0,3.3944997924907607,-1.708031369378262,3.8,-0.4661853071795863,8390.0,290.05,1612298336.5
21,1612298336.1,0.0,240.01,30.2848,2.10145,5025.34,0.9913860000000001,-0.39978,-1.0,2.10481,5093.46,0.489622,-0.177752,-1.0,12312.0,14736.0,271.0,90.0,40.595306648178116,-105.14417437464536,0.004681564210439214,5.432899590650537,35.0,250.0,3.3944997924907607,-1.708031369378262,3.8,-0.4661853071795863,8390.0,290.05,1612298336.5
22,1612298336.2,0.0,240.01,30.2848,2.10145,5025.34,0.9913860000000001,-0.39978,-1.0,2.10481,5093.46,0.489622,-0.177752,-1.0,12312.0,14736.0,271.0,90.0,40.595306650955905,-105.14417437186756,0.0023453769831089555,1.5707963267948966,35.0,250.0,3.3350443845388815,-1.7146366825527997,3.7499999999999996,-0.47488530717958644,8390.0,290.05,1612298336.6
23,1612298336.3,0.0,240.01,30.2848,2.10145,5025.34,0.9913860000000001,-0.39978,-1.0,2.10481,5093.46,0.489622,-0.177752,-1.0,12312.0,14736.0,271.0,90.0,40.595306648178116,-105.14417436908977,0.0011726884915057565,4.71238898038469,35.0,250.0,3.320001019623558,-1.7435863126609292,3.75,-0.48358530717958664,8390.0,290.05,1612298336.7
24,1612298336.4,0.0,240.01,30.2848,2.10145,5025.34,0.9913860000000001,-0.39978,-1.0,2.10481,5093.46,0.489622,-0.177752,-1.0,12312.0,14736.0,271.0,90.0,40.595306650955905,-105.14417437464536,0.001544379666403751,0.0,35.0,250.0,3.281735447949378,-1.7088629113163225,3.7,-0.480085307179585,8390.0,290.05,1612298336.8
25,1612298336.5,0.0,240.01,30.2848,2.10145,5025.34,0.9913860000000001,-0.39978,-1.0,2.10481,5093.46,0.489622,-0.177752,-1.0,12312.0,14736.0,271.0,90.0,40.595306650955905,-105.14417436908977,0.002808188125491972,2.1531081601431104,35.0,250.0,3.22840766255386,-1.7029045670158747,3.6500000000000004,-0.48538530717958595,8390.0,290.05,1612298336.9
26,1612298336.6,0.0,240.01,30.2848,2.10145,5025.34,0.9913860000000001,-0.39978,-1.0,2.10481,5093.46,0.489622,-0.177752,-1.0,12312.0,14736.0,271.0,90.0,40.595306648178116,-105.14417436908977,0.0019391510648138124,3.791036507403508,35.0,250.0,3.193039895302097,-1.6626774272266922,3.6,-0.48008530717958503,8390.0,290.05,1612298337.0
27,1612298336.7,0.0,240.01,30.2848,2.10145,5025.34,0.9913860000000001,-0.39978,-1.0,2.10481,5093.46,0.489622,-0.177752,-1.0,12312.0,14736.0,271.0,90.0,40.595306648178116,-105.14417437186756,0.0015443717655308966,3.141592653589793,35.0,250.0,3.1872009788386158,-1.6738428601544921,3.6,-0.4835853071795866,8390.0,290.05,1612298337.1
