,nearest10hz,inletNumber,P,T,CH4,H2O,C2H6,R,C1C2,raw_CH4,raw_H2O,raw_C2H6,raw_R,raw_C1C2,batteryCharge,powerInput,current,SOC,Latitude,Longitude,Velocity,Bearing,wind_deviceID,windReference,avg_wind_x,avg_wind_y,avg_windSpeed,avg_windAngle,atmosphericPressure,airTemperature,jointime
1,1612465808.1,0.0,239.984,11.0856,-0.7736729999999999,-777.928,2.9125799999999997,-0.124769,-1.0,-0.765037,-773.194,2.11922,-0.05911659999999999,-1.0,11761.0,14886.0,-685.0,91.0,40.594570777635795,-105.14031034246841,0.0015443757159673238,3.141592653589793,35.0,250.0,6.068455745753091,-5.923195494143032,8.480000000000002,-0.7732853071795864,8360.0,274.85,1612465808.1
2,1612465808.2,0.0,239.984,11.0856,-0.7736729999999999,-777.928,2.9125799999999997,-0.124769,-1.0,-0.765037,-773.194,2.11922,-0.05911659999999999,-1.0,11761.0,14886.0,-685.0,91.0,40.594570780413584,-105.1403103452462,0.004779236780297184,0.24790314176716047,35.0,250.0,5.940711831389932,-5.839250203269567,8.33,-0.7767853071795863,8360.0,274.85,1612465808.2
3,1612465808.3,0.0,239.984,11.0856,-0.7736729999999999,-777.928,2.9125799999999997,-0.124769,-1.0,-0.765037,-773.194,2.11922,-0.05911659999999999,-1.0,11761.0,14886.0,-685.0,91.0,40.59457078596915,-105.14031033969064,0.003303878626375317,0.36285706517874866,35.0,250.0,5.876209084400175,-5.676184175695224,8.170000000000002,-0.7680853071795861,8360.0,274.85,1612465808.4
4,1612465808.4,0.0,239.984,11.0856,-0.7736729999999999,-777.928,2.9125799999999997,-0.124769,-1.0,-0.765037,-773.194,2.11922,-0.05911659999999999,-1.0,11761.0,14886.0,-685.0,91.0,40.59457078596915,-105.14031034246841,0.005817463061761389,3.7910403377186013,35.0,250.0,5.876209084400175,-5.676184175695224,8.170000000000002,-0.7680853071795861,8360.0,274.85,1612465808.4
5,1612465808.5,0.0,239.984,11.0856,-0.7736729999999999,-777.928,2.9125799999999997,-0.124769,-1.0,-0.765037,-773.194,2.11922,-0.05911659999999999,-1.0,11761.0,14886.0,-685.0,91.0,40.594570777635795,-105.140310348024,0.0019391507793285123,2.4921473591927152,35.0,250.0,6.1012937723272325,-5.671253327418988,8.33,-0.7488853071795865,8360.0,274.85,1612465808.5
6,1612465808.6,0.0,239.984,11.0856,-0.7736729999999999,-777.928,2.9125799999999997,-0.124769,-1.0,-0.765037,-773.194,2.11922,-0.05911659999999999,-1.0,11761.0,14886.0,-685.0,91.0,40.594570783191365,-105.14031033969064,0.0030887553823710744,0.0,35.0,250.0,6.234460143687254,-5.674187758329389,8.43,-0.7383853071795861,8360.0,274.85,1612465808.6
7,1612465808.7,0.0,239.984,11.0856,-0.7736729999999999,-777.928,2.9125799999999997,-0.124769,-1.0,-0.765037,-773.194,2.11922,-0.05911659999999999,-1.0,11761.0,14886.0,-685.0,91.0,40.594570783191365,-105.140310348024,0.0038783041915450216,5.6337378069527535,35.0,250.0,6.422853614682059,-5.703950512089459,8.59,-0.7261853071795861,8360.0,274.85,1612465808.7
8,1612465808.8,0.0,239.984,11.0856,-0.7736729999999999,-777.928,2.9125799999999997,-0.124769,-1.0,-0.765037,-773.194,2.11922,-0.05911659999999999,-1.0,11761.0,14886.0,-685.0,91.0,40.59457078874693,-105.1403103452462,0.0011726893994992368,4.71238898038469,35.0,250.0,6.480279679291103,-5.714505689748397,8.639999999999999,-0.7226853071795862,8360.0,274.85,1612465808.8
9,1612465808.9,0.0,239.984,11.0856,-0.7736729999999999,-777.928,2.9125799999999997,-0.124769,-1.0,-0.765037,-773.194,2.11922,-0.05911659999999999,-1.0,11761.0,14886.0,-685.0,91.0,40.594570783191365,-105.14031035080177,0.0033764445980232977,3.7022272320606375,35.0,250.0,6.497624902396634,-5.770352729925191,8.689999999999998,-0.7261853071795861,8360.0,274.85,1612465808.9
10,1612465809.0,0.0,240.016,11.0909,-0.774454,-796.691,1.8123200000000002,-0.11514300000000001,-1.0,-0.7675390000000001,-780.753,2.18407,-0.106298,-1.0,11754.0,14884.0,-679.0,91.0,40.59457078360358,-105.14031034949885,0.002225524949178884,4.080138978760208,35.0,250.0,6.2111610071230405,-5.773376736676233,8.48,-0.7488853071795865,8360.0,274.85,1612465809.1
11,1612465809.1,0.0,240.016,11.0909,-0.774454,-796.691,1.8123200000000002,-0.11514300000000001,-1.0,-0.7675390000000001,-780.753,2.18407,-0.106298,-1.0,11754.0,14884.0,-679.0,91.0,40.5945707808258,-105.1403103550544,0.0033038786263900437,3.504449908783092,35.0,250.0,6.2111610071230405,-5.773376736676233,8.48,-0.7488853071795865,8360.0,274.85,1612465809.1
12,1612465809.2,0.0,240.016,11.0909,-0.774454,-796.691,1.8123200000000002,-0.11514300000000001,-1.0,-0.7675390000000001,-780.753,2.18407,-0.106298,-1.0,11754.0,14884.0,-679.0,91.0,40.594570778048016,-105.14031035227664,0.0023453847984747033,1.5707963267948966,35.0,250.0,5.995447750794485,-5.71077983006641,8.28,-0.7610853071795864,8360.0,274.85,1612465809.2
13,1612465809.3,0.0,240.016,11.0909,-0.774454,-796.691,1.8123200000000002,-0.11514300000000001,-1.0,-0.7675390000000001,-780.753,2.18407,-0.106298,-1.0,11754.0,14884.0,-679.0,91.0,40.5945707808258,-105.14031034949885,0.0047792314785486765,6.035284071955955,35.0,250.0,5.565400970774856,-5.705016392132303,7.97,-0.7977853071795862,8360.0,274.85,1612465809.4
