Z1,EW1,NS1,Z2,EW2,NS2,Z3,EW3,NS3,Z4,EW4,NS4,Z5,EW5,NS5,Timestamp,nearest10hz,X,inletNumber,P,T,CH4,H2O,C2H6,R,C1C2,raw_CH4,raw_H2O,raw_C2H6,raw_R,raw_C1C2,batteryCharge,powerInput,current,SOC,Latitude,Longitude,Velocity,Bearing,wind_deviceID,windReference,avg_wind_x,avg_wind_y,avg_windSpeed,avg_windAngle,atmosphericPressure,airTemperature,jointime
NAN,NAN,NAN,-0.15,-2.65,-1.11,-0.53,-2.98,-0.39,0.07,-4.97,-1.05,-0.11,-7.17,-2.76,2021-02-04 12:25:46.099,1612466746.1,1,0,240.005,15.8947,-0.887573,-844.957,16.6433,0.00990083,-1,-0.894025,-859.698,16.7423,0.180162,-1,12300,14773,257,90,40.59462945272734,-105.14027414489651,0.0019391483273786965,3.791041937163897,35,250,3.0133839700466707,-6.9334275038360005,7.559953697072737,-1.1608084554222518,8360,275.25,1612466746.1
NAN,NAN,NAN,-0.27,-2.38,-1.72,-1.07,-2.92,0.07,-0.42,-4.98,-1.31,-0.39,-5.92,-3.32,2021-02-04 12:25:46.200,1612466746.2,2,0,240.005,15.8947,-0.887573,-844.957,16.6433,0.00990083,-1,-0.894025,-859.698,16.7423,0.180162,-1,12300,14773,257,90,40.594629444394,-105.14027414211874,0.004779228868481256,2.89369026524021,35,250,3.1430283824332603,-7.094996306356964,7.76,-1.153785307179586,8360,275.25,1612466746.2
NAN,NAN,NAN,-0.54,-2.4,-0.17,-0.5,-4,0.51,-0.56,-5,-1.72,-0.02,-6.3,-2.8,2021-02-04 12:25:46.299,1612466746.3,3,0,240.005,15.8947,-0.887573,-844.957,16.6433,0.00990083,-1,-0.894025,-859.698,16.7423,0.180162,-1,12300,14773,257,90,40.594629444394,-105.14027414211874,0.0056163776659427555,5.294698002187134,35,250,3.295935851533859,-7.201611407356952,7.92,-1.141585307179586,8360,275.25,1612466746.3
NAN,NAN,NAN,-0.91,-2.29,0.59,-1.29,-1.95,-0.44,-0.59,-5.54,-2.23,0.01,-6.72,-3.18,2021-02-04 12:25:46.400,1612466746.4,4,0,240.005,15.8947,-0.887573,-844.957,16.6433,0.00990083,-1,-0.894025,-859.698,16.7423,0.180162,-1,12300,14773,257,90,40.59462944994956,-105.14027415322985,0.0035180831100435094,4.71238898038469,35,250,3.2913584976768178,-7.258640316186675,7.969999999999999,-1.145085307179586,8360,275.25,1612466746.4
NAN,NAN,NAN,-0.34,-2.16,-0.97,-1.8,-3.92,-1.34,0.24,-5.17,-1.78,-0.17,-6.38,-1.41,2021-02-04 12:25:46.500,1612466746.5,5,0,240.005,15.8947,-0.887573,-844.957,16.6433,0.00990083,-1,-0.894025,-859.698,16.7423,0.180162,-1,12300,14773,257,90,40.594629444394,-105.14027415045209,0.0015443775570083986,3.141592653589793,35,250,3.2811261085519434,-7.3728631792390384,8.07,-1.1520853071795865,8360,275.25,1612466746.5
NAN,NAN,NAN,0.38,-2.05,-1.07,-0.24,-4.54,-1.56,0.58,-5.74,-2.55,-0.18,-6.4,-2.52,2021-02-04 12:25:46.599,1612466746.6,6,0,239.99099999999999,15.8991,-0.888782,-841.837,17.192999999999998,0.0251458,-1,-0.8868219999999999,-855.071,17.7119,0.187802,-1,12298,14739,253,90,40.594629447171776,-105.14027415322985,0.0023453827406410208,4.71238898038469,35,250,3.2501891292523566,-7.441147130926106,8.120000000000001,-1.1589853071795864,8360,275.25,1612466746.6
NAN,NAN,NAN,-0.28,-3.57,-1.02,-0.3,-5.49,-2.69,0.11,-5.15,-2.95,-0.25,-6.42,-2.12,2021-02-04 12:25:46.700,1612466746.7,7,0,239.99099999999999,15.8991,-0.888782,-841.837,17.192999999999998,0.0251458,-1,-0.8868219999999999,-855.071,17.7119,0.187802,-1,12298,14739,253,90,40.594629444394,-105.14027415600764,0.0011726883705777981,1.5707963267948966,35,250,2.9878116119818805,-7.550323289191414,8.120000000000001,-1.1939853071795865,8360,275.25,1612466746.7
NAN,NAN,NAN,0.58,-5.78,-1.21,-0.07,-5.19,-2.34,0.09,-6.17,-2.71,-0.13,-6.12,-1.82,2021-02-04 12:25:46.799,1612466746.8,8,0,239.99099999999999,15.8991,-0.888782,-841.837,17.192999999999998,0.0251458,-1,-0.8868219999999999,-855.071,17.7119,0.187802,-1,12298,14739,253,90,40.594629447171776,-105.14027415045209,0.004681592889747427,0.8502914951713134,35,250,2.8384041849864086,-7.554360441668881,8.07,-1.211385307179586,8360,275.25,1612466746.8
NAN,NAN,NAN,0.94,-5.84,-1.47,0.27,-6.06,-2.11,0.14,-6.47,-1.72,0.09,-6.21,-1.93,2021-02-04 12:25:46.900,1612466746.9,9,0,239.99099999999999,15.8991,-0.888782,-841.837,17.192999999999998,0.0251458,-1,-0.8868219999999999,-855.071,17.7119,0.187802,-1,12298,14739,253,90,40.59462944994956,-105.14027414767428,0.004070411696235315,6.056314522831331,35,250,2.6957478631419485,-7.659461042290484,8.120000000000001,-1.232385307179585,8360,275.25,1612466746.9
NAN,NAN,NAN,0.29,-5.79,-2.13,0.34,-5.82,-1.22,0.26,-6.1,-1.89,0.48,-5.77,-1.75,2021-02-04 12:25:47.000,1612466747,10,0,239.99099999999999,15.8991,-0.888782,-841.837,17.192999999999998,0.0251458,-1,-0.8868219999999999,-855.071,17.7119,0.187802,-1,12298,14739,253,90,40.59462945430539,-105.14027415262078,0.003328478773177391,4.510625388727862,35,250,2.625065705397186,-7.736707167263275,8.169920914527593,-1.2436853071795866,8360,275.25,1612466747.1
